,hour,longitude,latitude,value
176,1,104.0354,30.6893,7
177,1,103.8365,30.6731,5
178,1,104.0743,30.6389,6
179,1,104.2749,30.5616,10
180,1,104.197,30.81,5
181,1,103.8489,30.6934,9
182,1,104.4457,30.8536,3
183,1,104.078,30.4892,3
184,1,104.0968,30.6568,4
185,1,104.2047,30.8289,4
186,1,103.8855,30.8266,3
187,1,104.0739,30.666,4
188,1,103.9174,30.7767,4
189,1,103.6683,31.0088,8
190,1,104.2396,30.5577,4
191,1,103.6266,30.9677,4
192,1,103.9617,30.5737,3
193,1,104.2999,30.8874,3
194,1,104.2581,30.8877,3
195,1,104.1604,30.6321,8
196,1,104.1174,30.6864,10
197,1,104.0544,30.5585,8
198,1,104.1179,30.6359,4
199,1,104.2717,30.8924,6
200,1,103.8378,30.6926,4
201,1,103.8026,30.88,4
202,1,103.6585,30.9907,15
203,1,103.9189,30.6087,3
204,1,104.0778,30.5367,7
205,1,104.0813,30.5958,8
206,1,104.2763,30.585,7
207,1,104.1441,30.6689,4
208,1,104.1069,30.674,3
209,1,103.9186,30.6183,4
210,1,104.1844,30.8193,4
211,1,104.1215,30.5953,8
212,1,103.8504,30.5052,9
213,1,104.2512,30.5408,6
214,1,103.8712,30.6984,10
215,1,103.9814,30.574,4
216,1,104.112,30.5876,3
217,1,104.0735,30.5578,9
218,1,104.2804,30.8753,4
219,1,103.6414,31.0012,7
220,1,103.8852,30.7939,3
221,1,104.0452,30.608,4
222,1,103.6604,30.6392,4
223,1,103.8192,30.4439,8
224,1,103.6315,31.0059,24
225,1,104.1743,30.8079,5
226,1,104.0404,30.6409,8
227,1,103.8256,30.7013,8
228,1,103.8393,30.7065,4
229,1,103.9724,30.7591,4
230,1,104.1692,30.6046,5
231,2,103.6293,30.9885,4
232,2,103.9158,30.8052,7
233,2,104.0038,30.6308,5
234,2,104.1726,30.8034,12
235,2,104.1133,30.6756,3
236,2,104.0735,30.6891,5
237,2,103.9628,30.5753,26
238,2,104.035,30.6405,16
239,2,103.9692,30.6925,12
240,2,103.7574,30.9845,8
241,2,103.6281,31.0069,8
242,2,104.2707,30.5553,3
243,2,103.9217,30.6092,7
244,2,104.0582,30.7124,7
245,2,104.0608,30.557,4
246,2,103.8757,30.6888,6
247,2,104.112,30.6452,5
248,2,103.8975,30.6235,4
249,2,103.9513,30.5501,5
250,2,104.0825,30.6565,20
251,2,104.1214,30.6328,4
252,2,104.2687,30.8958,6
253,2,104.061,30.6386,3
254,2,103.8428,30.6959,8
255,2,103.6679,30.9764,3
256,2,104.0299,30.6969,8
257,2,103.8197,30.6976,4
258,2,104.047,30.5075,3
259,2,104.1612,30.5939,14
260,2,103.6594,31.0267,4
261,2,104.4637,30.8557,5
262,2,104.1754,30.8385,3
263,2,104.2854,30.5778,6
264,2,103.9197,30.5956,3
265,2,104.0149,30.5826,4
266,2,103.9044,30.8006,5
267,2,103.999,30.6063,4
268,2,103.8354,30.7042,19
269,2,104.061,30.6219,4
270,2,104.2819,30.5613,6
271,2,104.0726,30.5591,9
272,2,104.1041,30.7103,4
273,2,104.0945,30.645,4
274,2,103.8328,30.6902,11
275,2,104.0508,30.6274,4
276,2,103.6705,30.9904,3
277,2,103.9007,30.8214,5
278,2,104.0929,30.5547,5
279,2,103.968,30.5846,10
280,2,104.0888,30.6321,5
281,2,104.0127,30.6371,4
282,2,104.1604,30.8221,4
283,2,103.6527,30.9929,14
284,2,103.8516,30.6867,5
285,2,104.071,30.5691,4
286,2,104.0916,30.6674,3
287,2,104.0924,30.6833,4
288,2,104.0636,30.5041,5
289,2,104.0819,30.4806,3
290,2,104.2661,30.5706,5
291,2,103.6364,30.9638,4
292,2,103.6389,31.0078,9
293,2,103.9398,30.5761,7
294,2,103.8404,30.6752,5
295,2,103.8957,30.812,14
296,2,104.4198,30.8581,3
297,2,104.2681,30.5832,8
298,2,104.1918,30.6561,3
299,2,103.9806,30.7766,4
300,2,103.8527,30.7062,6
301,2,104.1617,30.6353,3
302,2,103.9259,30.5612,7
303,2,103.66,31.0079,19
304,2,104.0837,30.6212,8
305,2,103.6344,30.9983,11
306,2,104.2436,30.581,5
307,3,104.0827,30.5905,5
308,3,104.0897,30.678,3
309,3,103.8306,30.7099,3
310,3,104.0543,30.5968,4
311,3,104.2543,30.5639,3
312,3,104.0257,30.7135,3
313,3,103.9248,30.6007,7
314,3,103.8382,30.7003,7
315,3,103.6594,30.9864,5
316,3,103.6586,31.009,6
317,3,103.6379,30.9797,9
318,3,103.9059,30.8081,3
319,3,104.0105,30.6319,4
320,3,104.2576,30.5431,3
321,3,104.0883,30.6934,3
322,3,104.0827,30.6629,15
323,3,103.975,30.7722,7
324,3,104.0787,30.7173,3
325,3,103.958,30.5727,4
326,3,103.6471,30.9873,15
327,3,103.9525,30.7832,4
328,3,104.1256,30.6522,6
329,3,104.062,30.5449,11
330,3,104.0493,30.6111,5
331,3,104.1673,30.8333,7
332,3,104.0333,30.6536,3
333,3,103.8731,30.6777,8
334,3,104.005,30.6501,4
335,3,104.1833,30.7987,8
336,3,104.2708,30.5719,4
337,3,104.2652,30.5642,5
338,3,104.1544,30.7563,5
339,3,104.1463,30.6014,4
340,3,104.0054,30.6691,4
341,3,104.1907,30.8171,7
342,3,103.6269,31.0021,11
343,3,103.8881,30.823,5
344,3,103.9761,30.7405,18
345,3,103.8324,30.6893,5
346,3,104.173,30.7097,4
347,3,104.0426,30.5929,4
348,3,103.6797,30.6418,4
349,3,104.0465,30.6966,9
350,3,103.9921,30.8306,4
351,3,103.7574,30.9844,4
352,3,104.2655,30.5823,3
