,hour,longitude,latitude,value
0,0,103.9773,30.7534,7.0
1,0,103.9097,30.7067,0.0
2,0,104.0265,30.7129,6.0
3,0,104.0618,30.4974,0.0
4,0,103.6909,30.7368,0.0
5,0,103.8315,30.6563,6.0
6,0,104.0225,30.6385,1.0
7,0,104.1818,30.8124,8.0
8,0,103.9264,30.8102,8.0
9,0,103.974,30.5557,0.0
10,0,104.4395,30.8599,8.0
11,0,104.254,30.5561,7.0
12,0,103.8349,30.6397,0.0
13,0,104.2121,30.5438,0.0
14,0,104.0603,30.6997,8.0
15,0,104.0517,30.7848,0.0
16,0,103.894,30.8139,0.0
17,0,104.2698,30.5482,8.0
18,0,104.082,30.6639,1.0
19,0,104.077,30.6219,1.0
20,0,104.0623,30.6549,1.0
21,0,103.9225,30.8404,0.0
22,0,119.5461,35.4068,8.0
23,0,103.9029,30.5459,0.0
24,0,103.9157,30.806,7.0
25,0,103.9998,30.6828,1.0
26,0,103.9417,30.6442,0.0
27,0,103.8208,30.7521,0.0
28,0,103.8374,30.69,8.0
29,0,103.6717,30.9336,0.0
30,0,104.0508,30.5565,0.0
31,0,103.6825,30.6193,0.0
32,0,103.9953,30.5634,0.0
33,0,103.7513,30.7909,0.0
34,0,103.8304,30.6828,7.0
35,0,104.0398,30.7151,8.0
36,0,104.0395,30.6002,0.0
37,0,104.2764,30.5548,8.0
38,0,103.9382,30.7703,0.0
39,0,104.0859,30.6476,8.0
40,0,104.084,30.6859,8.0
41,0,121.4448,31.0304,8.0
42,0,103.988,30.7416,0.0
43,0,103.978,30.584,0.0
44,0,103.6627,30.6221,0.0
45,0,104.2694,30.575,8.0
46,0,103.9027,30.8056,8.0
47,0,104.4555,30.8569,8.0
48,0,104.143,30.6453,8.0
49,0,103.7845,30.7811,0.0
50,0,103.954,30.6927,0.0
51,0,104.0489,30.7044,0.0
52,0,104.0986,30.6258,1.0
53,0,104.0483,30.693,1.0
54,0,103.8661,30.6939,0.0
55,0,121.8107,31.159,8.0
56,0,103.7183,30.6633,0.0
57,0,103.8213,30.4175,0.0
58,0,103.9773,30.6525,0.0
59,0,103.7816,30.795,0.0
60,0,104.0258,30.7312,0.0
61,0,104.0546,30.5257,0.0
62,0,103.5263,30.5936,0.0
63,0,104.0219,30.7025,0.0
64,0,103.9206,30.6424,0.0
65,0,104.2804,30.5614,8.0
66,0,103.9332,30.7154,0.0
67,0,103.6417,31.0168,9.0
68,0,104.1177,30.6526,8.0
69,0,104.0162,30.563,0.0
70,0,103.9933,30.5429,0.0
71,0,103.4941,30.6097,0.0
72,0,104.1152,30.6384,8.0
73,0,104.025,30.6681,8.0
74,0,105.4367,28.8907,0.0
75,0,103.9979,30.564,0.0
76,0,104.0953,30.5718,0.0
77,0,104.0563,30.6491,0.0
78,0,104.0047,30.4893,0.0
79,0,103.9589,30.5779,0.0
80,0,104.1207,30.6648,1.0
81,0,103.9148,30.6871,0.0
82,0,103.7259,30.8249,0.0
83,0,104.0019,30.5823,8.0
84,0,103.9511,30.563,0.0
85,0,104.0419,30.6335,1.0
86,0,103.8911,30.7481,0.0
87,0,104.7798,31.5141,8.0
88,0,103.9631,30.6117,0.0
89,0,103.6574,30.8357,0.0
90,0,104.0519,30.593,0.0
91,0,103.6226,31.0079,8.0
92,0,104.1106,30.4908,0.0
93,0,103.7088,30.8775,0.0
94,0,103.8544,30.6747,0.0
95,0,104.0161,30.7091,0.0
96,0,104.0714,30.6881,9.0
97,0,104.033,30.6137,0.0
98,0,120.3372,30.3005,8.0
99,0,104.1338,30.5725,0.0
100,0,103.8248,30.6823,0.0
101,0,104.0743,30.67,1.0
102,0,103.9824,30.5021,0.0
103,0,103.6761,30.6463,0.0
104,0,103.9591,30.7819,0.0
105,0,104.1319,30.6326,0.0
106,0,103.9391,30.5784,8.0
107,0,103.9324,30.6269,0.0
108,0,104.0401,30.573,0.0
109,0,103.8701,30.6485,0.0
110,0,103.9094,30.7956,8.0
111,0,103.9436,30.5613,0.0
112,0,103.9826,30.6362,8.0
113,0,103.9845,30.6218,0.0
114,0,104.0677,30.6727,1.0
115,0,103.4683,30.6246,0.0
116,0,103.8998,30.6791,0.0
117,0,103.9192,30.5826,7.0
118,0,103.9057,30.6489,0.0
119,0,103.8109,30.4292,0.0
120,0,103.8207,30.4294,0.0
121,0,104.0071,30.5575,0.0
122,0,104.1495,30.6333,0.0
123,0,103.8541,30.6956,0.0
124,0,104.2525,30.8959,8.0
125,0,104.0675,30.6639,8.0
126,0,104.2832,30.5824,0.0
127,0,103.6753,30.6273,0.0
128,0,120.3008,31.9005,1.0
129,0,104.1802,30.6299,0.0
130,0,104.1173,30.5694,0.0
131,0,104.1992,30.5352,0.0
132,0,103.8671,30.6809,8.0
133,0,104.2031,30.8349,8.0
134,0,103.9111,30.7884,0.0
135,0,103.6332,30.9241,0.0
136,0,104.0758,30.677,8.0
137,0,103.9965,30.77,8.0
138,0,113.5514,22.2232,0.0
139,0,104.0341,30.7631,0.0
140,0,103.6203,30.6235,0.0
141,0,104.0108,30.6773,8.0
142,0,103.6813,30.7344,0.0
143,0,103.8541,30.7869,0.0
144,0,104.1114,30.6475,1.0
145,0,103.7853,30.8443,0.0
146,0,103.9637,30.601,0.0
147,0,103.6715,30.7525,0.0
148,0,103.8159,30.6983,7.0
149,0,103.9418,30.583,0.0
150,0,103.9149,30.5514,0.0
151,0,104.6176,28.7874,0.0
152,0,103.9227,30.6084,0.0
153,0,104.0694,30.6108,1.0
154,0,104.1414,30.8116,7.0
155,0,104.0615,30.5349,0.0
156,0,103.6895,30.6225,0.0
157,0,104.7789,31.5115,8.0
158,0,103.9511,30.7587,0.0
159,0,103.9536,30.5499,0.0
160,0,103.9046,30.6062,0.0
161,0,104.0375,30.7268,0.0
162,0,104.0402,30.4963,0.0
163,0,103.4773,30.6181,0.0
164,0,104.0352,30.5252,0.0
165,0,121.4517,31.031,8.0
166,0,103.9791,30.6366,0.0
