,hour,longitude,latitude,value
0,0,104.0077,30.7083,6.0
1,0,104.0675,30.6358,13.0
2,0,104.0676,30.6463,37.0
3,0,104.2607,30.8865,7.5
4,0,103.9838,30.6657,23.0
5,0,103.6784,31.0058,37.0
6,0,104.261,30.5531,9.0
7,0,103.8147,30.6999,16.0
8,0,103.9299,30.803,38.0
9,0,103.6246,30.981,14.5
10,0,103.6483,30.9995,10.33
11,0,103.6594,31.0267,20.0
12,0,103.8285,30.6498,23.0
13,0,104.1936,30.8249,23.0
14,0,104.0123,30.6574,10.0
15,0,103.9528,30.7522,20.0
16,0,103.6713,31.0293,21.0
17,0,103.6398,30.9909,8.33
18,0,104.0503,30.6089,144.0
19,0,104.3913,30.855,60.0
20,0,104.074,30.6549,12.75
21,0,103.9791,30.5737,58.0
22,0,104.1257,30.6341,54.0
23,0,104.1514,30.7586,101.0
24,0,104.2414,30.5791,9.0
25,0,103.9623,30.5762,8.0
26,0,104.08,30.6078,10.0
27,0,104.0905,30.6174,20.0
28,0,104.1834,30.7988,24.0
29,0,103.9328,30.7613,25.0
30,0,104.0372,30.6895,35.0
31,0,103.8879,30.8268,10.0
32,0,103.634,31.0137,12.0
33,0,104.0089,30.6437,11.0
34,0,104.2733,30.8846,14.0
35,0,103.9785,30.7377,10.0
36,0,104.0804,30.7041,17.0
37,0,104.0624,30.5924,8.0
38,0,104.0724,30.533,13.0
39,0,104.0455,30.6401,10.0
40,0,104.0983,30.672,19.5
41,0,104.1149,30.6629,20.0
42,0,104.0617,30.657,36.25
43,0,104.1175,30.6764,22.0
44,0,103.9887,30.82,16.0
45,0,103.6606,31.002,17.67
46,0,104.0746,30.6787,41.5
47,0,103.6608,31.0124,24.67
48,0,104.0573,30.6969,23.0
49,0,103.6537,30.9874,10.78
50,0,103.6512,30.9595,27.0
51,0,103.8947,30.8136,7.25
52,0,104.0911,30.6595,45.2
53,0,104.0962,30.599,18.0
54,0,104.0602,30.561,10.5
55,0,103.8508,30.7053,21.0
56,0,103.9292,30.5805,18.0
57,0,104.0148,30.6296,18.0
58,0,104.1673,30.7075,140.0
59,0,103.8831,30.8174,9.0
60,0,103.987,30.6743,9.0
61,0,104.0571,30.6333,11.0
62,0,104.2474,30.5329,61.0
63,0,104.0758,30.4966,19.5
64,0,104.1523,30.6296,25.0
65,0,104.0667,30.6043,13.0
66,0,104.1738,30.8339,12.0
67,0,104.1462,30.6428,13.0
68,0,104.2755,30.5722,9.0
69,0,104.0082,30.5726,13.0
70,0,104.028,30.6685,14.0
71,0,104.0023,30.6102,7.0
72,0,103.8709,30.7119,25.0
73,0,104.1628,30.6439,14.0
74,0,104.1223,30.7502,14.5
75,0,104.1078,30.642,13.0
76,0,104.0002,30.6731,5.0
77,0,103.6797,30.6235,14.0
78,0,104.2763,30.5853,22.0
79,0,103.9171,30.8096,15.0
80,0,103.6663,30.9779,10.0
81,0,103.6553,30.9779,19.0
82,0,104.0952,30.6471,25.0
83,0,103.9134,30.5791,9.0
84,0,103.8423,30.7134,22.0
85,0,104.2913,30.8911,11.0
86,0,104.2734,30.5582,24.0
87,0,103.8401,30.6922,21.0
88,0,104.1763,30.7214,8.0
89,0,103.8959,30.7947,14.0
90,0,103.8264,30.6992,30.5
91,0,104.2448,30.8933,13.0
92,0,104.0873,30.6755,18.0
93,0,104.073,30.5583,8.0
94,0,104.2865,30.5612,8.0
95,0,104.0784,30.6311,22.0
96,0,104.1685,30.6216,20.5
97,0,104.0226,30.6814,18.33
98,0,104.0341,30.6484,16.0
99,0,104.1667,30.8263,13.0
