,hour,longitude,latitude,value
0,0,104.0841,30.6236,173
1,0,104.0603,30.6317,149
2,0,104.0734,30.6267,145
3,0,104.0709,30.653,144
4,0,104.0872,30.659,139
5,0,104.0957,30.6544,138
6,0,104.0808,30.671,132
7,0,104.0298,30.6421,131
8,0,104.07,30.6709,131
9,0,104.0793,30.6154,130
10,0,104.0738,30.6568,126
11,0,104.1049,30.6501,126
12,0,119.5433,35.4096,124
13,0,104.0393,30.6457,121
14,0,104.0654,30.6726,119
15,0,104.1028,30.6445,119
16,0,104.079,30.6178,119
17,0,104.0563,30.6303,118
18,0,104.0469,30.6864,118
19,0,104.0497,30.6423,118
20,0,104.0288,30.6812,117
21,0,104.0199,30.6571,117
22,0,104.067,30.6676,117
23,0,104.0738,30.636,113
24,0,104.0858,30.6653,112
25,0,104.0788,30.6565,112
26,0,104.046,30.6376,109
27,0,104.0293,30.6438,106
28,0,104.0373,30.6845,106
29,0,104.099,30.663,105
30,0,104.0734,30.6572,105
31,0,104.0249,30.6528,104
32,0,104.0669,30.6375,104
33,0,104.0343,30.637,102
34,0,104.0986,30.632,101
35,0,104.0945,30.6459,101
36,0,104.1113,30.6493,100
37,0,104.0457,30.667,99
38,0,104.0963,30.6244,99
39,0,104.0715,30.6493,96
40,0,104.0206,30.6719,95
41,0,104.0852,30.6675,93
42,0,104.046,30.6786,93
43,0,104.0916,30.6529,92
44,0,104.0623,30.6907,92
45,0,104.0356,30.6883,92
46,0,104.04,30.6888,91
47,0,104.0841,30.6785,90
48,0,103.973,30.5801,89
49,0,104.0315,30.68,89
50,0,104.0823,30.6288,89
51,0,104.0535,30.6804,88
52,0,104.048,30.651,88
53,0,104.0416,30.6826,87
54,0,104.1099,30.6477,86
55,0,104.0229,30.6643,86
56,0,104.0678,30.6382,86
57,0,103.9712,30.5777,86
58,0,104.0284,30.682,85
59,0,104.0607,30.6367,85
60,0,104.085,30.6508,85
61,0,104.0605,30.6392,85
62,0,104.0676,30.6103,84
63,0,104.0515,30.6451,82
64,0,104.0762,30.6005,81
65,0,120.3004,31.9029,79
66,0,104.0845,30.6286,78
67,0,104.0407,30.5998,77
68,0,104.0423,30.6002,77
69,0,104.0064,30.6783,77
70,0,104.0401,30.658,77
71,0,104.1141,30.6641,77
72,0,104.1131,30.6712,76
73,0,103.6345,30.9844,74
74,0,104.1223,30.6542,74
75,0,103.9857,30.5742,74
76,0,104.0849,30.6753,73
77,0,104.058,30.6599,73
78,0,104.1159,30.6594,73
79,0,104.064,30.6866,72
80,0,104.0274,30.6401,72
81,0,104.0372,30.6571,72
82,0,104.0422,30.6625,72
83,0,103.6392,30.9928,72
84,0,104.0292,30.5867,71
85,0,103.6505,30.9866,71
86,0,104.0416,30.6936,71
87,0,103.9965,30.6374,70
88,0,121.8148,31.159,70
89,0,104.0564,30.6896,70
90,0,103.9885,30.5731,70
91,0,104.11,30.6275,69
92,0,111.3036,30.7087,69
93,0,103.6411,30.9862,69
94,0,104.0159,30.6786,69
95,0,104.0154,30.589,69
96,0,104.0001,30.5728,68
97,0,104.1284,30.6494,68
98,0,104.0499,30.6628,67
99,0,104.1008,30.6697,67
100,0,103.8872,30.8041,67
101,0,104.2823,30.564,67
102,0,103.9067,30.8058,67
103,0,104.0584,30.6188,67
104,0,103.8488,30.6974,67
105,0,104.1015,30.6395,67
106,0,104.0272,30.6892,66
107,0,104.057,30.6664,66
108,0,103.9019,30.8058,66
109,0,104.047,30.6224,65
110,0,104.099,30.6805,65
111,0,104.2615,30.5648,65
112,0,103.6412,30.9986,65
113,0,104.0685,30.6979,64
114,0,104.1886,30.8292,64
115,0,103.9992,30.5857,64
116,0,103.6244,30.9907,64
117,0,103.8435,30.6976,64
118,0,104.1062,30.6912,63
119,0,103.8881,30.8149,63
120,0,104.0503,30.6149,62
121,0,104.2601,30.5748,62
122,0,104.0043,30.6792,61
123,0,104.0057,30.6321,61
124,0,104.0315,30.5944,61
125,0,104.0405,30.6027,61
126,0,104.0222,30.7034,61
127,0,104.2713,30.5764,61
128,0,104.1042,30.6838,60
129,0,104.086,30.6822,60
130,0,103.8329,30.7006,60
131,0,104.2718,30.5648,60
132,0,104.1243,30.6612,60
133,0,104.0837,30.608,60
134,0,104.0398,30.6802,59
135,0,103.8924,30.8219,58
136,0,103.9864,30.6788,58
137,0,104.1172,30.6841,58
138,0,104.2524,30.5753,58
139,0,104.0801,30.6784,58
140,0,103.837,30.698,58
