1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,7.订单发起时间 ,8.订单结束时间 
6936842,"123.407901,41.774787","123.40818285341,41.77523956355","123.42880134157,41.756434607654",2018/8/8 16:45,2018/8/8 17:16
7024598,"123.354855,41.860021","123.35441301099,41.859307770729","123.36426215588,41.857405235812",2018/8/8 18:28,2018/8/8 18:34
7225126,"123.488812,41.804357","123.48886667001,41.804433063557","123.55921734989,41.776608201391",2018/8/8 0:40,2018/8/8 0:57
7373783,"123.349093,41.776557","123.34886316726,41.77658638387","123.33235383587,41.747859508764",2018/8/8 18:25,2018/8/8 18:48
7489657,"123.507345,41.905648","123.50726413677,41.905651252915","123.59467382748,41.922579984552",2018/8/8 8:18,2018/8/8 8:41
7493299,"123.431035,41.815119","123.43146717553,41.815276121899","123.42963790435,41.823602472821",2018/8/8 18:39,2018/8/8 18:49
7524097,"123.417318,41.869606","123.41759440104,41.869548068576","123.43848280165,41.888136121962",2018/8/8 21:25,2018/8/8 21:44
7618499,"123.278498,41.801735","123.27915934245,41.802784288194","123.3095703125,41.795265299479",2018/8/8 8:03,2018/8/8 8:28
7624282,"123.392825,41.752505","123.39378553602,41.752168240017","123.39619791667,41.729691297743",2018/8/8 11:52,2018/8/8 12:02
7750545,"123.327431,41.750368","123.32818223741,41.750063205295","123.36047254774,41.773581542969",2018/8/8 16:28,2018/8/8 16:44
7765974,"123.415453,41.785176","123.50338406033,41.838823242188","123.4483211263,41.796564941406",2018/8/8 10:40,2018/8/8 11:17
7959950,"123.456333,41.803384","123.45609101946,41.803334443643","123.42645520776,41.878505707009",2018/8/8 21:50,2018/8/8 22:27
7986305,"123.354201,41.754952","123.35423416981,41.754937430604","123.37257152318,41.815921963442",2018/8/8 11:17,2018/8/8 11:46
7995974,"123.421127,41.829114","123.42050732627,41.829412660616","123.4266023976,41.785186764196",2018/8/8 7:53,2018/8/8 8:21
8026388,"123.397401,41.848321","123.39838123582,41.847860083682","123.3695679232,41.822383721271",2018/8/8 23:36,2018/8/8 23:54
8042260,"123.452903,41.770502","123.4561859809,41.77020968967","123.41365668403,41.790936143663",2018/8/8 15:43,2018/8/8 16:13
8094935,"123.479987,41.76137","123.48099278397,41.763382313234","123.5039606966,41.781190825229",2018/8/8 10:07,2018/8/8 10:23
8194698,"123.398351,41.848559","123.39842969827,41.848508788252","123.39322420125,41.909702351789",2018/8/8 13:36,2018/8/8 14:01
8451062,"123.376858,41.791854","123.37591861096,41.790642618557","123.36253234327,41.774689227164",2018/8/8 7:34,2018/8/8 7:45
8652986,"123.387021,41.817026","123.39154432509,41.818616807726","123.42981146918,41.832345648872",2018/8/8 8:13,2018/8/8 8:42
8791578,"123.482612,41.720906","123.48238241719,41.720362616907","123.4722110873,41.708261339456",2018/8/8 13:03,2018/8/8 13:15
9004713,"123.488367,41.74948","123.48723504608,41.749355120172","123.41011843135,41.792630043796",2018/8/8 15:08,2018/8/8 15:37
9141677,"123.241905,41.730841","123.24278076172,41.730749782986","123.27276774089,41.75502983941",2018/8/8 7:02,2018/8/8 7:13
9209352,"123.409326,41.774185","123.40941745294,41.7739185661","123.39854843106,41.78876544027",2018/8/8 13:49,2018/8/8 13:59
