1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,7.订单发起时间 ,8.订单结束时间 
4.28673E+11,"123.405846,41.791009","123.33076796898,41.754754621031","123.40589198377,41.790934327734",2018/8/8 15:10,2018/8/8 15:40
5.11376E+11,"123.49023,41.741365","123.49151664868,41.742373316238","123.44098849266,41.796333908131",2018/8/8 4:55,2018/8/8 5:20
5.48361E+11,"123.19575,41.799517","123.19716671409,41.797243405128","123.25007001244,41.794892761028",2018/8/8 10:27,2018/8/8 10:46
5.54396E+11,"123.392938,41.865654","123.3932215751,41.865287824472","123.44609677872,41.835470527266",2018/8/8 6:29,2018/8/8 6:54
5.81736E+11,"123.441319,41.726474","123.44046937331,41.726976351118","123.39155832145,41.795100532316",2018/8/8 12:52,2018/8/8 13:27
6.01934E+11,"123.385789,41.853729","123.38893014155,41.833168816645","123.38704289139,41.854390902798",2018/8/8 20:45,2018/8/8 21:00
6.33198E+11,"123.430701,41.784808","123.43071268707,41.784769240334","123.43239342046,41.776751469246",2018/8/8 1:00,2018/8/8 1:15
6.40004E+11,"123.489561,41.837022","123.48961756295,41.836547611397","123.47157437839,41.793644751719",2018/8/8 14:01,2018/8/8 14:21
6.62015E+11,"123.22424,41.757617","123.22539098464,41.757320207039","123.35755128073,41.780501309731",2018/8/8 16:12,2018/8/8 16:55
6.62468E+11,"123.450174,41.776987","123.44994791265,41.776941068223","123.46925464534,41.735952001362",2018/8/8 12:22,2018/8/8 12:40
6.94056E+11,"123.526578,41.938344","123.5233665582,41.938765036719","123.48139981592,41.860712643673",2018/8/8 2:09,2018/8/8 2:29
7.84166E+11,"123.386776,41.745276","123.38686494354,41.74546949542","123.40524667107,41.793552075215",2018/8/8 16:07,2018/8/8 16:30
7.8711E+11,"123.350585,41.786863","123.35026658958,41.786492407752","123.37455791361,41.781960036911",2018/8/8 22:32,2018/8/8 22:48
7.95034E+11,"123.455339,41.802479","123.45381905094,41.801553402942","123.46780485492,41.816081955573",2018/8/8 21:29,2018/8/8 21:50
8.0115E+11,"123.488199,41.79633","123.48804280599,41.796395128038","123.5056258138,41.745231662326",2018/8/8 21:57,2018/8/8 22:20
8.12243E+11,"123.2016,41.764034","123.201474528,41.763622171497","123.40856497463,41.7942579056",2018/8/8 20:21,2018/8/8 21:14
8.30751E+11,"123.416074,41.773147","123.41637143732,41.772739820586","123.42488097886,41.773735816973",2018/8/8 10:30,2018/8/8 10:59
8.39806E+11,"123.476768,41.774828","123.47718238545,41.774356981634","123.4647551521,41.750560911693",2018/8/8 8:04,2018/8/8 8:21
8.41881E+11,"123.382126,41.813786","123.38209591888,41.814219674244","123.38088611441,41.797078430478",2018/8/8 19:55,2018/8/8 20:04
8.45804E+11,"123.442076,41.681983","123.44254645745,41.681762034742","123.55707790818,41.695525732943",2018/8/8 6:36,2018/8/8 7:29
8.47387E+11,"123.425439,41.8317","123.42535563151,41.831497938368","123.42000515408,41.818671603733",2018/8/8 15:50,2018/8/8 15:59
8.49443E+11,"123.398764,41.754179","123.39854690738,41.754404977792","123.39842074886,41.770726088373",2018/8/8 0:01,2018/8/8 0:12
8.58148E+11,"123.490162,41.770139","123.48832551784,41.770619732739","123.46248859758,41.771463636801",2018/8/8 9:44,2018/8/8 9:55
8.58291E+11,"123.420533,41.692376","123.42583631727,41.701814778646","123.42583034939,41.701816134983",2018/8/8 11:46,2018/8/8 11:47
8.74466E+11,"123.401775,41.791565","123.40175614386,41.791319069685","123.36134979119,41.813325378673",2018/8/8 11:00,2018/8/8 11:35
8.7513E+11,"123.431745,41.82501","123.4320395246,41.824449855461","123.42756818322,41.765771219399",2018/8/8 7:17,2018/8/8 7:47
9.10701E+11,"123.3741,41.802422","123.37461477477,41.801409430405","123.40715389623,41.792665511306",2018/8/8 21:43,2018/8/8 21:54
9.1597E+11,"123.417131,41.792318","123.41718713688,41.792246990942","123.41525673532,41.780317173939",2018/8/8 11:38,2018/8/8 11:55
9.26726E+11,"123.397799,41.795039","123.39875685296,41.795256258889","123.35146926742,41.781678415037",2018/8/8 16:11,2018/8/8 16:34
9.32858E+11,"123.437347,41.787679","123.43773444253,41.788418342434","123.47122764435,41.803258287284",2018/8/8 12:26,2018/8/8 12:46
9.48903E+11,"123.304078,41.77469","123.30373908524,41.774620068943","123.22820716738,41.72880054722",2018/8/8 10:37,2018/8/8 10:54
9.64034E+11,"123.400598,41.832637","123.3996342386,41.833876901178","123.52927183247,41.815191093359",2018/8/8 18:57,2018/8/8 19:26
9.86455E+11,"123.547183,41.775898","123.54824520696,41.773351947132","123.4725435437,41.74550378599",2018/8/8 7:41,2018/8/8 8:08
1.01788E+12,"123.392111,41.797954","123.39176460873,41.798119858234","123.4183466636,41.809102234206",2018/8/8 19:37,2018/8/8 19:53
1.02343E+12,"123.543898,41.743654","123.54577872181,41.744281230053","123.45726102423,41.73025477452",2018/8/8 15:02,2018/8/8 15:21
1.05267E+12,"123.490273,41.840108","123.40172613289,41.781420442805","123.49020536092,41.840225252948",2018/8/8 11:09,2018/8/8 12:03
1.05602E+12,"123.412146,41.814107","123.41132555023,41.812835271315","123.4075939105,41.792613133303",2018/8/8 7:58,2018/8/8 8:37
1.09497E+12,"123.531052,41.840891","123.3874824242,41.806729995502","123.40874526658,41.825405941236",2018/8/8 9:21,2018/8/8 9:42
1.11454E+12,"123.327922,41.802981","123.32808062343,41.802969040334","123.33830497447,41.81195729793",2018/8/8 15:35,2018/8/8 15:54
1.13164E+12,"123.392716,41.796595","123.39189465906,41.798409256449","123.4149916603,41.827401054755",2018/8/8 0:12,2018/8/8 0:28
1.13216E+12,"123.252992,41.739084","123.25313734374,41.739340914632","123.24427893484,41.764994147724",2018/8/8 19:54,2018/8/8 20:02
1.16551E+12,"123.257857,41.779517","123.2569544246,41.777908481693","123.25675049084,41.765753373098",2018/8/8 17:39,2018/8/8 17:48
1.2191E+12,"123.421343,41.770473","123.42421083832,41.771795469776","123.44173413974,41.733172633438",2018/8/8 11:43,2018/8/8 12:03
1.25066E+12,"123.266081,41.750982","123.26581128282,41.751263916113","123.15043105204,41.679493542711",2018/8/8 8:12,2018/8/8 8:37
1.26724E+12,"123.434561,41.818946","123.43640770798,41.817930795733","123.43548609169,41.770882807341",2018/8/8 11:36,2018/8/8 12:03
1.28649E+12,"123.422745,41.915248","123.42262909222,41.915273617718","123.49028622937,41.730140620603",2018/8/8 12:57,2018/8/8 13:40
1.28839E+12,"123.475059,41.704035","123.47355143229,41.70514702691","123.34955566406,41.659319118924",2018/8/8 23:02,2018/8/8 23:36
1.31713E+12,"123.398638,41.752816","123.40515569409,41.749877386195","123.40516386873,41.749872727069",2018/8/8 21:17,2018/8/8 21:25
1.32918E+12,"123.386209,41.811342","123.38624186198,41.809250217014","123.41301784939,41.798046061198",2018/8/8 8:47,2018/8/8 9:20
1.34835E+12,"123.385757,41.793714","123.38550889757,41.793876681858","123.4214851888,41.807123209635",2018/8/8 0:04,2018/8/8 0:28
1.38291E+12,"123.213191,41.748925","123.22515441505,41.765387841199","123.22514562438,41.765408301985",2018/8/8 15:42,2018/8/8 15:44
1.41953E+12,"123.355601,41.781216","123.35515299479,41.781068793403","123.36334798177,41.799274088542",2018/8/8 11:22,2018/8/8 11:37
1.45746E+12,"123.387748,41.874604","123.38732737266,41.873202150356","123.41268967098,41.863781260036",2018/8/8 14:32,2018/8/8 14:43
1.4807E+12,"123.498761,41.825102","123.49911799622,41.824358626934","123.53176305209,41.835369833416",2018/8/8 8:05,2018/8/8 8:21
1.54965E+12,"123.396096,41.790781","123.43972072231,41.81701878845","123.39646973436,41.790434521231",2018/8/8 15:53,2018/8/8 16:31
1.55402E+12,"123.406032,41.814091","123.40630581072,41.813459584542","123.40935105943,41.822655264251",2018/8/8 18:03,2018/8/8 18:19
1.56427E+12,"123.395978,41.745377","123.39614122179,41.745213758681","123.4188422309,41.773591851128",2018/8/8 8:43,2018/8/8 9:08
1.57661E+12,"123.352033,41.78434","123.35197075738,41.784220377604","123.4057413737,41.772261284722",2018/8/8 20:42,2018/8/8 20:57
1.58241E+12,"123.399942,41.786977","123.3998266847,41.786794016131","123.39633459183,41.802007179354",2018/8/8 17:55,2018/8/8 18:18
1.6075E+12,"123.464704,41.699716","123.46443512516,41.69990914974","123.42601359163,41.771817485444",2018/8/8 8:19,2018/8/8 9:02
1.62251E+12,"123.404717,41.830026","123.40547455867,41.831001723193","123.37324682098,41.793309557583",2018/8/8 12:09,2018/8/8 12:44
1.64585E+12,"123.405491,41.863663","123.40539977698,41.863693127976","123.43678157216,41.818179335371",2018/8/8 9:42,2018/8/8 10:18
1.66126E+12,"123.464967,41.83999","123.46591020558,41.839104102668","123.43615407225,41.821081334168",2018/8/8 16:08,2018/8/8 16:24
1.66895E+12,"123.376209,41.873294","123.3760495677,41.873305149323","123.36381417558,41.857323908788",2018/8/8 21:58,2018/8/8 22:09
1.68107E+12,"123.427641,41.772121","123.4279675049,41.772475834421","123.4089307032,41.733742891585",2018/8/8 13:46,2018/8/8 14:11
1.68974E+12,"123.303884,41.772918","123.30391057014,41.772605919298","123.36941936828,41.863696225161",2018/8/8 17:24,2018/8/8 18:03
1.69181E+12,"123.43853,41.776325","123.44013013122,41.778349131363","123.43706078913,41.81831656925",2018/8/8 13:54,2018/8/8 14:29
1.71957E+12,"123.461609,41.73881","123.46147292628,41.735914672154","123.5012891114,41.752326877293",2018/8/8 17:38,2018/8/8 17:55
1.72025E+12,"123.473545,41.814616","123.47527935779,41.814796233561","123.43706278639,41.81831966432",2018/8/8 14:24,2018/8/8 14:54
1.72253E+12,"123.405491,41.852366","123.40572837645,41.852381715345","123.3543948758,41.858032038627",2018/8/8 14:55,2018/8/8 15:09
1.73588E+12,"123.244476,41.76809","123.24514865451,41.767981499566","123.35565999349,41.779499240451",2018/8/8 18:54,2018/8/8 19:20
1.75554E+12,"123.462184,41.764471","123.46221771435,41.76403646597","123.47406098348,41.775499604057",2018/8/8 18:02,2018/8/8 18:18
1.76365E+12,"123.415105,41.802914","123.41544439968,41.803162353989","123.39669622779,41.794806137298",2018/8/8 21:29,2018/8/8 21:42
1.77178E+12,"123.279053,41.845923","123.27872395833,41.844724934896","123.43607421875,41.798108723958",2018/8/8 16:59,2018/8/8 17:44
1.83042E+12,"123.481531,41.831386","123.48168429905,41.831515570747","123.3835281033,41.906232910156",2018/8/8 18:50,2018/8/8 19:32
1.83158E+12,"123.352965,41.839705","123.35293267144,41.83945827908","123.36092692057,41.798129882813",2018/8/8 20:11,2018/8/8 20:31
1.83187E+12,"123.391618,41.800184","123.39088851642,41.799874655473","123.37514463331,41.792382017124",2018/8/8 22:07,2018/8/8 22:15
1.83235E+12,"123.393021,41.91098","123.39415379859,41.909503672545","123.41983859448,41.835057633643",2018/8/8 8:49,2018/8/8 9:34
1.86024E+12,"123.408887,41.794996","123.40901204897,41.795275217006","123.61808858315,41.843969265042",2018/8/8 10:34,2018/8/8 11:19
1.89045E+12,"123.229805,41.76563","123.22982122494,41.765547025219","123.15514034655,41.697121047094",2018/8/8 20:30,2018/8/8 20:48
1.90009E+12,"123.428415,41.757869","123.42848659939,41.757935384115","123.41432807075,41.932858615451",2018/8/8 11:15,2018/8/8 12:01
1.90043E+12,"123.36731,41.858456","123.36731485619,41.858522799183","123.2868642175,41.761999606421",2018/8/8 12:03,2018/8/8 12:31
1.91037E+12,"123.358449,41.825531","123.35900324546,41.825237585303","123.35569170621,41.80008198526",2018/8/8 8:20,2018/8/8 8:37
1.9169E+12,"123.49211,41.790887","123.4914825123,41.791258217474","123.46647777385,41.801069042341",2018/8/8 16:53,2018/8/8 17:12
1.92895E+12,"123.392303,41.800235","123.39224344179,41.800071287946","123.4063877705,41.771232274934",2018/8/8 17:36,2018/8/8 18:04
1.95814E+12,"123.423719,41.812188","123.42431029873,41.812123048733","123.38008133602,41.796087784796",2018/8/8 10:42,2018/8/8 11:11
1.98019E+12,"123.280335,41.807194","123.28015219439,41.807146380004","123.30537560574,41.794393368547",2018/8/8 13:04,2018/8/8 13:26
1.99211E+12,"123.356744,41.7206","123.35662865347,41.720459649573","123.43776228444,41.91425417215",2018/8/8 23:12,2018/8/8 23:57
2.02435E+12,"123.441527,41.725024","123.44160563151,41.72515218099","123.41032199436,41.688427463108",2018/8/8 15:47,2018/8/8 16:04
2.05814E+12,"123.491673,41.766033","123.49178032769,41.76610921224","123.49024061415,41.745413140191",2018/8/8 17:46,2018/8/8 17:57
2.06114E+12,"123.328461,41.740742","123.32693781725,41.739645133731","123.24510656905,41.75603831462",2018/8/8 6:59,2018/8/8 7:21
2.06663E+12,"123.466605,41.744662","123.46659016927,41.744537217882","123.44115641276,41.730994737413",2018/8/8 22:47,2018/8/8 22:59
2.07611E+12,"123.432253,41.805865","123.45676645098,41.712129320638","123.47572094618,41.728133470936",2018/8/8 16:03,2018/8/8 16:16
2.0995E+12,"123.557574,41.775101","123.55852994845,41.775837802448","123.3656688568,41.815858547008",2018/8/8 5:05,2018/8/8 5:40
2.15338E+12,"123.360664,41.812516","123.35992629667,41.812427501815","123.32431956576,41.792907757781",2018/8/8 10:51,2018/8/8 11:13
2.16793E+12,"123.52645,41.816657","123.52564130735,41.81635013726","123.44130197501,41.806662377053",2018/8/8 8:11,2018/8/8 8:45
2.19015E+12,"123.463652,41.8235","123.46351979188,41.8230998475","123.44949712853,41.81717834364",2018/8/8 14:56,2018/8/8 15:05
2.1967E+12,"123.4975,41.82673","123.49748263889,41.826804470486","123.45913438585,41.745474446615",2018/8/8 13:42,2018/8/8 14:16
2.20759E+12,"123.458377,41.67648","123.45823213963,41.676384212029","123.43455466256,41.715790695377",2018/8/8 15:49,2018/8/8 16:08
2.22934E+12,"123.360725,41.813944","123.36048790914,41.813683054266","123.36318739368,41.858327238325",2018/8/8 22:58,2018/8/8 23:12
2.25791E+12,"123.448338,41.744662","123.44825770907,41.744634715334","123.46672903416,41.747366904842",2018/8/8 18:10,2018/8/8 18:19
2.27644E+12,"123.248129,41.743096","123.24838719025,41.742960247326","123.26605972297,41.762146526327",2018/8/8 11:07,2018/8/8 11:17
2.3309E+12,"123.393388,41.859294","123.39337139256,41.859990548672","123.41806682452,41.855791040879",2018/8/8 12:40,2018/8/8 12:51
2.33534E+12,"123.407712,41.7971","123.40768496069,41.797096321067","123.44578750789,41.82879146924",2018/8/8 15:49,2018/8/8 16:14
2.33534E+12,"123.382306,41.810183","123.38213993242,41.810100794641","123.40770916981,41.79700339282",2018/8/8 15:19,2018/8/8 15:33
2.3593E+12,"123.455707,41.679633","123.45633269204,41.679479055824","123.3368690871,41.655701419713",2018/8/8 14:52,2018/8/8 15:20
2.36481E+12,"123.409438,41.745797","123.40742642476,41.74462145105","123.40709733992,41.793838019077",2018/8/8 20:28,2018/8/8 20:55
2.38748E+12,"123.313927,41.799006","123.31234630378,41.799315683955","123.34840243901,41.80357173018",2018/8/8 7:56,2018/8/8 8:13
2.46519E+12,"123.444626,41.814318","123.4442127768,41.813332475728","123.40982536705,41.81232589576",2018/8/8 18:43,2018/8/8 19:00
2.48424E+12,"123.406439,41.91648","123.40657505044,41.916604488265","123.58533094564,41.95512319791",2018/8/8 22:34,2018/8/8 22:53
2.50502E+12,"123.461734,41.767974","123.4597964323,41.767265812087","123.45578651544,41.74656850276",2018/8/8 18:48,2018/8/8 19:03
2.50572E+12,"123.363744,41.764689","123.36384235911,41.764078646421","123.34427471217,41.751344981152",2018/8/8 11:48,2018/8/8 12:01
2.53264E+12,"123.398491,41.786702","123.39936397718,41.786810692577","123.44983088427,41.80137569406",2018/8/8 22:42,2018/8/8 23:02
2.56935E+12,"123.432599,41.78013","123.43263373481,41.779861382378","123.41278944227,41.814673936632",2018/8/8 19:35,2018/8/8 20:07
2.58687E+12,"123.39073,41.808271","123.39050925482,41.808312427681","123.41027301322,41.805529063188",2018/8/8 9:52,2018/8/8 10:09
2.58864E+12,"123.344086,41.790335","123.34361822558,41.789313330336","123.38213738146,41.788219010242",2018/8/8 14:14,2018/8/8 14:37
2.60151E+12,"123.449108,41.745397","123.44930309763,41.744164532688","123.4533510388,41.744030184808",2018/8/8 7:43,2018/8/8 7:50
2.60977E+12,"123.51243,41.746458","123.51279699634,41.746215177037","123.55350937976,41.772787758801",2018/8/8 21:10,2018/8/8 21:22
2.6208E+12,"123.477874,41.838516","123.4775241428,41.838486328125","123.47404622396,41.812374674479",2018/8/8 15:22,2018/8/8 15:39
2.62371E+12,"123.37233,41.789547","123.37206587709,41.789799026589","123.36808757639,41.81679108844",2018/8/8 18:52,2018/8/8 19:13
2.63537E+12,"123.509357,41.751273","123.50940629148,41.751323795581","123.46858150741,41.735953898733",2018/8/8 7:13,2018/8/8 7:26
2.67523E+12,"123.391397,41.730152","123.39151016606,41.730110165132","123.42974656192,41.761100211602",2018/8/8 17:36,2018/8/8 18:05
2.69342E+12,"123.242319,41.744956","123.24214560556,41.744836120029","123.15259225608,41.696544389944",2018/8/8 22:03,2018/8/8 22:19
2.70008E+12,"123.462399,41.792993","123.46240034838,41.793077794688","123.4956056217,41.751164673713",2018/8/8 2:42,2018/8/8 2:59
2.76587E+12,"123.358881,41.803639","123.35869981554,41.803618706597","123.34309488932,41.771617838542",2018/8/8 16:46,2018/8/8 17:05
2.78761E+12,"123.422571,41.802637","123.42256817935,41.802718121647","123.48788270014,41.771452046067",2018/8/8 8:31,2018/8/8 9:06
2.79606E+12,"123.168758,41.770726","123.16887478299,41.77287109375","123.20236735026,41.709290093316",2018/8/8 7:55,2018/8/8 8:19
2.80033E+12,"123.395713,41.794845","123.39694798388,41.794749082239","123.43001772413,41.829331791682",2018/8/8 14:58,2018/8/8 15:23
2.81336E+12,"123.41374,41.735241","123.41472983261,41.734854638236","123.39774048911,41.738566538121",2018/8/8 18:44,2018/8/8 18:59
2.83632E+12,"123.376391,41.812664","123.37655807053,41.812564102875","123.37310278342,41.817351412459",2018/8/8 18:28,2018/8/8 18:46
2.86181E+12,"123.45508,41.831346","123.45490751924,41.831461645461","123.40331169937,41.852282939472",2018/8/8 22:46,2018/8/8 23:01
2.87871E+12,"123.377266,41.792507","123.37722439415,41.792513534111","123.37871347397,41.806087293726",2018/8/8 8:48,2018/8/8 9:00
2.8919E+12,"123.38206,41.789636","123.3821472897,41.789635302849","123.38785277547,41.678918354597",2018/8/8 15:54,2018/8/8 16:34
2.916E+12,"123.452281,41.785649","123.45215211022,41.78536579235","123.46052292181,41.801167725401",2018/8/8 14:04,2018/8/8 14:27
2.91985E+12,"123.439694,41.686893","123.44187421932,41.688329679631","123.48586361529,41.682132976091",2018/8/8 7:45,2018/8/8 8:08
2.9376E+12,"123.433641,41.812533","123.43299500918,41.811270290173","123.39272600987,41.773618107147",2018/8/8 10:56,2018/8/8 11:27
2.93859E+12,"123.417008,41.875394","123.38352437986,41.895718424857","123.41488585376,41.890706525293",2018/8/8 7:53,2018/8/8 8:04
2.94712E+12,"123.41284,41.869178","123.41240395926,41.869415730375","123.40582164747,41.880842784003",2018/8/8 19:47,2018/8/8 19:59
2.95069E+12,"123.2352,41.736761","123.23373098098,41.734558372003","123.27172442342,41.755176333191",2018/8/8 14:42,2018/8/8 14:53
2.97157E+12,"123.462439,41.803743","123.46427719449,41.803295992819","123.36847186534,41.87056143294",2018/8/8 16:48,2018/8/8 17:53
2.97223E+12,"123.479336,41.826023","123.47943061073,41.824520196766","123.45894140754,41.833806471682",2018/8/8 12:50,2018/8/8 13:04
2.98208E+12,"123.36898,41.803162","123.36907961573,41.802947139789","123.35018261168,41.786393620879",2018/8/8 12:50,2018/8/8 13:03
2.9863E+12,"123.426458,41.785379","123.42669008049,41.78528866878","123.44376010827,41.72798236148",2018/8/8 10:21,2018/8/8 10:44
2.99866E+12,"123.407161,41.750804","123.41702407534,41.741277876998","123.40614378454,41.747601495393",2018/8/8 16:35,2018/8/8 16:47
3.00886E+12,"123.411601,41.930338","123.41116861979,41.930020073785","123.43020833333,41.93140109592",2018/8/8 9:03,2018/8/8 9:08
3.02E+12,"123.41171,41.735177","123.41041988353,41.735305622332","123.40198938027,41.745447640288",2018/8/8 6:45,2018/8/8 7:02
3.02769E+12,"123.371457,41.827159","123.37063067536,41.827347528479","123.38052498071,41.796873485006",2018/8/8 8:27,2018/8/8 8:58
3.0388E+12,"123.384667,41.811851","123.38381967803,41.811489637266","123.3772557777,41.813446331733",2018/8/8 15:57,2018/8/8 16:11
3.04348E+12,"123.397192,41.923355","123.39842440644,41.922881514869","123.43804245199,41.931941996696",2018/8/8 19:25,2018/8/8 19:34
3.05671E+12,"123.387822,41.779475","123.38840386285,41.779411078559","123.37828097873,41.77853108724",2018/8/8 12:08,2018/8/8 12:17
3.05675E+12,"123.308727,41.802912","123.37031741375,41.793725596435","123.36202814383,41.774825534012",2018/8/8 10:54,2018/8/8 11:11
3.05756E+12,"123.469446,41.7031","123.46974049121,41.703342966316","123.44263552805,41.730601356311",2018/8/8 8:01,2018/8/8 8:26
3.05812E+12,"123.371789,41.829514","123.37195994303,41.829446917245","123.37791140567,41.815126452952",2018/8/8 2:35,2018/8/8 2:43
3.08881E+12,"123.380071,41.795449","123.38020589193,41.795419650608","123.45137586806,41.712813042535",2018/8/8 21:41,2018/8/8 22:16
3.11125E+12,"123.481447,41.744625","123.48145478705,41.744855332007","123.42161830384,41.688299757154",2018/8/8 14:10,2018/8/8 14:41
3.12268E+12,"123.488232,41.731003","123.48818522135,41.730615234375","123.5269148763,41.750034179688",2018/8/8 15:46,2018/8/8 15:59
3.12605E+12,"123.430096,41.731673","123.42925998264,41.731667209201","123.45988633898,41.731431206597",2018/8/8 14:52,2018/8/8 15:15
3.12963E+12,"123.453789,41.68429","123.45380302407,41.684419506912","123.49328342239,41.683653867735",2018/8/8 12:13,2018/8/8 12:30
3.13304E+12,"123.429786,41.895562","123.42994589869,41.895472853841","123.39753669908,41.936724584775",2018/8/8 12:38,2018/8/8 12:54
3.17384E+12,"123.450662,41.80717","123.45164686415,41.808073459201","123.41624945747,41.800899522569",2018/8/8 9:22,2018/8/8 9:51
3.17528E+12,"123.421806,41.787217","123.42085824389,41.786875463798","123.39279503927,41.777294317422",2018/8/8 14:33,2018/8/8 14:53
3.17736E+12,"123.422077,41.813197","123.42067314369,41.812123287017","123.37699489236,41.827253053499",2018/8/8 16:09,2018/8/8 16:29
3.17933E+12,"123.401991,41.748873","123.40221652561,41.74887125651","123.42472005208,41.752917751736",2018/8/8 17:15,2018/8/8 17:38
3.1797E+12,"123.397507,41.743845","123.39722949378,41.744178678806","123.4005706866,41.792407361795",2018/8/8 19:03,2018/8/8 19:23
3.17978E+12,"123.461846,41.677899","123.46281333522,41.67794025215","123.48941824091,41.690053145201",2018/8/8 12:34,2018/8/8 12:43
3.23618E+12,"123.432652,41.781","123.43289781566,41.780966662538","123.44250975503,41.770497396706",2018/8/8 10:23,2018/8/8 10:33
3.24791E+12,"123.425027,41.776796","123.42509585532,41.777632287669","123.34967729137,41.790761886255",2018/8/8 18:03,2018/8/8 18:44
3.26864E+12,"123.436339,41.8162","123.43580144333,41.816195606183","123.47729034771,41.763458886758",2018/8/8 11:49,2018/8/8 12:23
3.27538E+12,"123.483795,41.79106","123.48577314709,41.797402460574","123.53668469096,41.81992156774",2018/8/8 5:24,2018/8/8 5:40
3.28307E+12,"123.47168,41.796972","123.47381243303,41.797913313151","123.42150645101,41.789877299088",2018/8/8 11:40,2018/8/8 12:14
3.34254E+12,"123.49015,41.884097","123.49039026752,41.8847976771","123.55449794268,41.945600565612",2018/8/8 6:27,2018/8/8 6:43
3.35635E+12,"123.374661,41.822129","123.37515543178,41.82147527671","123.40860145168,41.827016074593",2018/8/8 12:27,2018/8/8 12:47
3.39517E+12,"123.400691,41.777786","123.40024523717,41.777950580821","123.37841731379,41.815028060542",2018/8/8 16:31,2018/8/8 17:06
3.41224E+12,"123.450347,41.787944","123.44979437934,41.787959798177","123.41019259983,41.804632703993",2018/8/8 15:20,2018/8/8 16:00
3.47507E+12,"123.419499,41.831779","123.41965632359,41.831839219451","123.4210450506,41.838762713947",2018/8/8 8:45,2018/8/8 8:59
3.47513E+12,"123.471304,41.782416","123.47235938279,41.782695959503","123.54509723694,41.812639620934",2018/8/8 12:32,2018/8/8 12:54
3.49844E+12,"123.401437,41.782746","123.40145453559,41.782878689236","123.40541042752,41.817065700955",2018/8/8 13:50,2018/8/8 14:11
3.50407E+12,"123.42432,41.868949","123.42482069227,41.86939046224","123.44417100694,41.816482204861",2018/8/8 15:18,2018/8/8 15:40
3.52962E+12,"123.487299,41.743466","123.48732111949,41.743915792828","123.48792127845,41.77290447996",2018/8/8 15:50,2018/8/8 16:06
3.55794E+12,"123.567806,41.937233","123.56697918074,41.937392371111","123.59602977088,41.92898660597",2018/8/8 21:49,2018/8/8 21:59
3.57055E+12,"123.496765,41.750655","123.49556185378,41.751107198356","123.44327364346,41.727570410245",2018/8/8 18:51,2018/8/8 19:13
5.00003E+12,"121.447329,28.647227","123.44828499634,41.797006600092","123.38832439498,41.772528065288",2018/8/8 20:47,2018/8/8 21:15
5.00003E+12,"123.474423,41.78191","123.47705474947,41.778690110597","123.51353795412,41.748193007298",2018/8/8 19:17,2018/8/8 19:49
5.00003E+12,"123.420824,41.773133","123.4197416431,41.773484370426","123.2965937344,41.834163319902",2018/8/8 16:53,2018/8/8 17:52
5.00004E+12,"123.437929,41.755225","123.43699671885,41.75624411799","123.36090152562,41.813605972543",2018/8/8 16:48,2018/8/8 17:48
5.00004E+12,"123.356844,41.800957","123.35692708333,41.801312934028","123.3834757487,41.838481445313",2018/8/8 14:49,2018/8/8 15:07
5.00004E+12,"123.413819,41.96453","123.41253200955,41.964940863715","123.42885036892,41.919392632378",2018/8/8 13:55,2018/8/8 14:08
5.00004E+12,"123.43705,41.817519","123.38080410674,41.796921356817","123.36580216227,41.761274248511",2018/8/8 20:08,2018/8/8 20:24
5.00005E+12,"123.376794,41.832113","123.37673430174,41.832308630407","123.36022638249,41.860112333451",2018/8/8 8:31,2018/8/8 8:48
5.00006E+12,"123.408486,41.903831","123.40708781484,41.90495440432","123.42989837615,41.832348318973",2018/8/8 17:26,2018/8/8 18:04
5.00006E+12,"123.409383,41.734353","123.40843803438,41.733821990686","123.36295994347,41.785193799967",2018/8/8 11:08,2018/8/8 11:41
5.00006E+12,"123.500286,41.686621","123.49957134667,41.685660325782","123.47462769199,41.67681128573",2018/8/8 10:38,2018/8/8 10:45
5.00006E+12,"123.451178,41.784555","123.45181911754,41.78405937641","123.45974828056,41.788492077912",2018/8/8 9:22,2018/8/8 9:33
5.00006E+12,"123.346639,41.819655","123.34848533732,41.818918160307","123.35785220827,41.803213539519",2018/8/8 8:28,2018/8/8 8:44
5.00009E+12,"123.501604,41.795727","123.50153814528,41.796226437754","123.4423693003,41.77027839135",2018/8/8 16:16,2018/8/8 16:48
5.0001E+12,"123.410125,41.821555","123.41020182292,41.821233995226","123.39519666884,41.835869411892",2018/8/8 20:16,2018/8/8 20:31
5.00011E+12,"123.442763,41.795312","123.44245415582,41.795274793837","123.43672363281,41.818180881076",2018/8/8 11:52,2018/8/8 12:08
5.00011E+12,"123.432034,41.772771","123.43210562889,41.773050042117","123.42635882887,41.790660423125",2018/8/8 20:12,2018/8/8 20:27
5.00011E+12,"123.464727,41.804298","123.46443695326,41.803908392331","123.43941037252,41.84532472738",2018/8/8 15:44,2018/8/8 16:11
5.00012E+12,"123.406008,41.946122","123.40562328762,41.945923939958","123.36721450528,41.858567988408",2018/8/8 22:29,2018/8/8 23:01
5.00013E+12,"123.572868,41.959207","123.57110098546,41.959912479123","123.52004978829,42.045893460734",2018/8/8 20:43,2018/8/8 21:00
