,hour,longitude,latitude,value
0,0,104.0842,30.6622,4.0
1,0,103.9436,30.5876,0.0
2,0,103.8424,30.7113,7.0
3,0,103.557,30.2162,0.0
4,0,104.1447,30.6366,3.0
5,0,103.7859,30.6641,0.0
6,0,104.2793,30.5635,8.0
7,0,103.8431,30.6584,0.0
8,0,103.6474,30.9931,8.0
9,0,104.1599,30.6373,0.0
10,0,103.6399,30.8952,0.0
11,0,104.0291,30.4527,0.0
12,0,103.8499,30.5548,0.0
13,0,103.628,30.9962,8.0
14,0,103.6306,31.012,8.0
15,0,103.9176,30.7114,0.0
16,0,103.9825,30.639,9.0
17,0,103.613,30.9205,0.0
18,0,104.072,30.6289,8.0
19,0,103.909,30.796,-1.0
20,0,103.8183,30.4096,0.0
21,0,104.037,30.6219,6.0
22,0,103.9276,30.7308,0.0
23,0,104.0617,30.5095,0.0
24,0,103.688,30.6467,0.0
25,0,103.7944,30.6709,0.0
26,0,103.6876,30.6243,0.0
27,0,103.8438,30.6726,0.0
28,0,103.8681,30.4481,0.0
29,0,103.627,30.9962,8.0
30,0,104.2901,30.56,8.0
31,0,104.0299,30.6961,1.0
32,0,103.5394,30.7578,0.0
33,0,104.0892,30.7061,8.0
34,0,104.1248,30.6564,8.0
35,0,103.9903,30.6143,0.0
36,0,103.8431,30.7056,8.0
37,0,103.4839,30.4293,0.0
38,0,103.8779,30.6393,0.0
39,0,103.7973,30.6864,0.0
40,0,103.9101,30.5379,0.0
41,0,103.9307,30.4286,0.0
42,0,104.0112,30.7058,3.0
43,0,103.8721,30.382,0.0
44,0,103.9916,30.6786,1.0
45,0,104.081,30.7022,6.0
46,0,103.8423,30.6925,8.0
47,0,103.9379,30.6715,0.0
48,0,103.9163,30.4094,0.0
49,0,104.0745,30.5776,0.0
50,0,103.6711,30.6844,0.0
51,0,103.5476,30.589,0.0
52,0,103.8711,30.7019,7.0
53,0,104.0509,30.5249,0.0
54,0,103.8316,30.4302,0.0
55,0,104.0515,30.6376,8.0
56,0,103.6343,30.9637,0.0
57,0,103.8684,30.3952,0.0
58,0,103.8634,30.6551,0.0
59,0,103.9942,30.7157,-1.0
60,0,103.9126,30.6073,0.0
61,0,103.6657,30.6876,0.0
62,0,103.7377,30.5852,0.0
63,0,103.8371,30.7009,1.0
64,0,103.8643,30.6913,8.0
65,0,103.8931,30.8303,8.0
66,0,104.1485,30.683,8.0
67,0,103.6987,30.5927,0.0
68,0,103.9738,30.387,0.0
69,0,103.9809,30.7599,7.0
70,0,103.8037,30.6491,0.0
71,0,103.9377,30.5827,4.0
72,0,103.6278,30.9868,8.0
73,0,103.8148,30.4262,0.0
74,0,103.6532,30.9574,8.0
75,0,103.9773,30.5928,0.0
76,0,103.8337,30.7149,0.0
77,0,103.8245,30.6579,0.0
78,0,103.9446,30.6261,0.0
79,0,103.8164,30.6932,0.0
80,0,104.0363,30.5794,0.0
81,0,104.0319,30.6863,8.0
82,0,103.65,30.9832,8.0
83,0,104.0511,30.6364,6.0
84,0,103.9148,30.5923,9.0
85,0,103.9304,30.6095,9.0
86,0,103.9111,30.637,0.0
87,0,104.0402,30.5676,0.0
88,0,103.7529,30.6678,0.0
89,0,103.9628,30.7495,0.0
90,0,103.8943,30.8272,8.0
91,0,104.0874,30.5513,7.0
92,0,103.9197,30.5999,7.0
93,0,103.9681,30.5851,8.0
94,0,104.1196,30.6178,7.0
95,0,103.7165,30.3708,0.0
96,0,104.0146,30.7255,0.0
97,0,103.913,30.8004,7.0
98,0,103.9337,30.5549,0.0
99,0,103.9079,30.6923,0.0
100,0,103.4759,30.4177,0.0
101,0,103.7709,30.6329,0.0
102,0,103.845,30.355,0.0
103,0,103.9962,30.7486,0.0
104,0,103.8041,30.6857,0.0
105,0,104.0185,30.5591,0.0
106,0,104.0831,30.5688,0.0
107,0,104.0935,30.5891,7.0
108,0,103.8827,30.7091,8.0
109,0,104.7241,31.4721,7.0
110,0,103.6786,30.6119,0.0
111,0,103.9934,30.6984,0.0
112,0,103.5194,30.1946,0.0
113,0,104.1552,30.8155,7.0
114,0,103.7412,30.3826,0.0
115,0,104.2753,30.9045,-1.0
116,0,103.9355,30.5228,0.0
117,0,106.5884,29.5688,3.0
