1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,5.使用者的出发地位置信息(订单里面设定的出发地) ,6.结果对象信息 ,7.订单发起时间 ,8.订单结束时间 
5054504,"123.384569,41.803561","123.38453473619,41.803615668796","123.41316771027,41.791260077566","霁虹|中国光大银行(沈阳云峰支行),123.38452,41.80354","马路湾|光大大厦,123.41336,41.79081",2018/8/8 10:39,2018/8/8 11:00
5316736,"123.46107,41.728689","123.46196283603,41.728831103818","123.4919974886,41.738289419408","金帆中路|沿海赛洛城-东门,123.46119,41.7287","浑南区|华发·岭南荟(东南2门),123.49206,41.73831",2018/8/8 21:19,2018/8/8 21:40
5394613,"123.438834,41.848032","123.43885768248,41.848054660708","123.45660512021,41.856429163485","北陵|沈阳地铁公共交通公司,123.43889,41.84763","皇姑区|城建北尚B区,123.45657,41.85649",2018/8/8 21:35,2018/8/8 21:42
5556060,"123.435298,41.77853","123.43548890019,41.776699472609","123.40754092773,41.774142246489","华润中心-公交站,123.43556,41.77671","嘉兴街45号,123.40755,41.77417",2018/8/8 20:13,2018/8/8 20:30
5748521,"123.379415,41.819758","123.37924804688,41.820336642795","123.43318630642,41.833579915365","明廉东路|中海寰宇天下小区,123.37931,41.82027","崇山|沈阳市儿童医院,123.43275,41.83305",2018/8/8 12:37,2018/8/8 13:07
5809272,"123.328548,41.818136","123.32960387533,41.8170340591","123.32603602932,41.840074092553","七路|凯荣禧乐都,123.32967,41.81816","丁香湖畔新城,123.324843,41.841299",2018/8/8 17:59,2018/8/8 18:18
5903222,"123.400649,41.921344","123.40051613768,41.920251860508","123.40269711613,41.886856385729","道义|GY(沈阳积家购物中心),123.40034,41.92198","怒江北街|奉天堂大药房(怒江店),123.40116,41.8868",2018/8/8 20:34,2018/8/8 20:50
5944855,"123.360444,41.781907","123.36018515927,41.780841615357","123.35166387973,41.784931185319","沈辽中路|万达广场(铁西店)东南门,123.36022,41.78077","兴顺|宏伟小区-东一门,123.35162,41.78491",2018/8/8 18:11,2018/8/8 18:22
6028691,"123.318974,41.772696","123.31999502024,41.771457321115","123.32627344088,41.813586700011","昼夜代理各大墓园对面,123.32001,41.77143","七路|新鑫石汽车租赁,123.32609,41.81381",2018/8/8 14:07,2018/8/8 14:31
6166933,"123.320325,41.763403","123.320289544,41.763517605352","123.33349353202,41.775534977739","南阳湖|天空之城-东门,123.32031,41.76345","铁西区|宏发·长岛三期(宏发·石榴),123.33286,41.77511",2018/8/8 20:06,2018/8/8 20:21
6259131,"123.451125,41.79772","123.45158638313,41.797710529024","123.50940861621,41.808685747367","中街|美泽医疗美容,123.45169,41.79759","东塔|黎明广场,123.503481,41.808391",2018/8/8 23:21,2018/8/8 23:38
6261511,"123.399434,41.749342","123.39774991517,41.747984321568","123.40198390245,41.739886620038","长白|深航翡翠城-南门,123.39781,41.74787","和平区长白社区卫生服务中心,123.40191,41.73965",2018/8/8 7:52,2018/8/8 8:05
6294229,"123.424612,41.807228","123.42489872726,41.807029850202","123.48647654426,41.855704285736","北市|宝丰典当,123.42455,41.80698","大东区|宝地铭门,123.483932,41.856017",2018/8/8 15:59,2018/8/8 16:34
6344256,"123.426713,41.818562","123.4260977014,41.818443463503","123.41062487974,41.80665342749","肇东街|永泰小区-西门,123.42619,41.81837","西塔|韩百商场,123.41072,41.80683",2018/8/8 8:38,2018/8/8 9:02
6408189,"123.366544,41.77729","123.36895887587,41.77768500434","123.37047471788,41.809543999566","凌空一小区-东门,123.36891,41.77702","铁西区|水善汇停车场(出入口),123.370227,41.809761",2018/8/8 16:40,2018/8/8 17:00
6624927,"123.495982,41.808946","123.49592558546,41.808943456317","123.40565180549,41.813939055257","东塔|古田·和睦城-北一门,123.49481,41.80901","三洞桥|沈阳市公安局交通警察支队皇姑大队,123.4057,41.81386",2018/8/8 17:54,2018/8/8 18:27
6712925,"123.436862,41.736044","123.43700798324,41.736751496075","123.44305921858,41.740599662058","五三街道|伊丽雅特湾(南区),123.43707,41.73671","文化路|东软电脑城C座,123.427182,41.767019",2018/8/8 14:59,2018/8/8 15:19
6741917,"123.489105,41.745536","123.48995792673,41.745438929504","123.4273695115,41.764502954229","恒达路|万科·金域蓝湾-南门,123.48995,41.74532","文化路|同方广场,123.426452,41.763839",2018/8/8 9:37,2018/8/8 10:24
6752686,"123.394622,41.804485","123.39495375347,41.804698016678","123.50708803812,41.796415291495","霁虹|中国石化(虹桥加油站),123.39461,41.80448","大东区|东塔园,123.50755,41.79633",2018/8/8 20:02,2018/8/8 20:24
